"","Community","Gender","Literacy","Community_Group","Year","Income_source","Food_source","Education_HH","Education_spouse","Cons_Intervention_gen","Devel_Intervention_gen","Fish_NTZ","FFS","CGRN_Miombo","CGRN_Mangrove","VSLA","Association_Alliance"
"544",NA,"Male",1,0,2008,"Informal_work",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","Mituco","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,NA
"546",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"547",NA,"Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"548","Namichir","Male",0,0,2008,"Informal_formal_business",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"549","Namichir","Male",1,0,2008,"Transportation",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"550",NA,"Male",1,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"551",NA,"Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"552",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"553",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"554",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"555",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"556",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"557","Mucoroma","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"558","Natere","Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"559","Corane","Male",1,0,2008,"Subsist_crops",NA,"None","None",1,1,1,1,1,1,0,NA
"560",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"561",NA,"Male",0,0,2008,"Animal_husbandry",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"562",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"563","Moebase","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"564","Moebase","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"565","Monudo/Murudo","Male",0,0,2008,"Fish_sale_external",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"566",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","Complete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"567","Moebase","Male",1,0,2008,"Informal_work",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"568",NA,"Male",1,0,2008,"Fish_processing",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"569","Monudo/Murudo","Male",0,0,2008,"Transportation",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"570","Monudo/Murudo","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"571",NA,"Male",1,0,2008,"Informal_work",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"572","Monudo/Murudo","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"573","Moebase","Female",0,0,2008,"Fish_processing",NA,"Complete_primary","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA
"574","Monudo/Murudo","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"575","Mtopa","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"576","Nacocolo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"577","Iarupa","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"578","Iarupa","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"579",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"580","Iarupa","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"581",NA,"Male",1,0,2008,NA,NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"582",NA,"Male",1,0,2008,"Forraged_products",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"583","Namige","Female",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"584","Namige","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"585","Magene","Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"586","Magene","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"587","Magene","Male",0,0,2008,"Informal_formal_business",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"588","Namige","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"589","Magene","Male",0,0,2008,"Remittances",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"590","Magene","Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"591",NA,"Male",0,0,2008,"Fruit",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"592",NA,"Male",0,0,2008,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"593","Namige","Male",1,0,2008,"Animal_husbandry",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"594","Murateia","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"595","Namige","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"596",NA,"Male",1,0,2008,"Fruit",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"597",NA,"Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"598","Magene","Male",1,0,2008,"Forraged_products",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"599",NA,"Female",1,0,2008,"Sell_drinks",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"600","Magene","Male",1,0,2008,"Fruit",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"601","Pacone","Male",1,0,2008,NA,NA,"Complete_secondary_or_higher","None",NA,NA,NA,NA,NA,NA,NA,NA
"602",NA,"Female",0,0,2008,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",NA,"Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"604","Tipane","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"605",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"606",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"607","Mituco","Male",0,0,2008,"Informal_formal_business",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"608","Mituco","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"609","Namame","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",0,1,0,1,0,0,1,NA
"610",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"611",NA,"Male",1,0,2008,NA,NA,"Incomplete_secondary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"612",NA,"Male",1,0,2008,"Sell_drinks",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"613","Munar","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"614","Munar","Male",1,0,2008,"Informal_work",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,NA
"615",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"616",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"617",NA,"Male",1,0,2008,NA,NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"618","Txotxo","Male",1,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"619","Namaquete","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"620","Txotxo","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"621","Nanheua","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"622","Namaquete","Male",0,0,2008,"Firewood_charcoal",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"623","Nambui","Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"624","Nanheua","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"625","Nanheua","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"626","Namaquete","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"627","Txotxo","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"628","Txotxo","Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"629","Txotxo","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"630","Namaquete","Male",1,0,2008,"Forraged_products",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"631","Hori","Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"632","Hori","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"633","Namaquete","Male",0,0,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"634","Txotxo","Male",0,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"635","Namaquete","Male",0,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"636","Namaquete","Male",1,0,2008,"Fish_sale_local",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"637","Namaquete","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"638","Namaquete","Male",0,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"639","Hori","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"640",NA,"Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"641",NA,"Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"642","Macogone","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",0,1,0,1,0,0,1,NA
"643","Macogone","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_secondary","None",0,1,0,1,0,0,1,NA
"644","Solulo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"645","Solulo","Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"646","Solulo","Male",0,0,2008,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"647",NA,"Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,NA
"648","Solulo","Male",0,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"649","Solulo","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"650","Mecane (Oua)","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"651","Mecane (Oua)","Male",1,0,2008,"Informal_formal_business",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"652","Lalaue","Male",1,0,2008,"Informal_work",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"653",NA,"Male",1,0,2008,NA,NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Natere","Male",0,0,2008,"Forraged_products",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"655","Natere","Male",1,0,2008,"Fish_sale_local",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"656",NA,"Female",0,0,2008,"Animal_husbandry",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"657","Corane","Male",0,0,2008,"Subsist_crops",NA,"None","None",1,1,1,1,1,1,0,NA
"658","Corane","Male",0,0,2008,"Informal_work",NA,"Incomplete_primary","Incomplete_primary",1,1,1,1,1,1,0,NA
"659","Mtopa","Male",0,0,2008,"Informal_formal_business",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"660","Mtopa","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"661","Namige","Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"662","Pulizica","Male",0,0,2008,"Fish_sale_external",NA,"None","None",1,0,1,0,0,1,0,NA
"663","Murateia","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"664","Murateia","Male",1,0,2008,"Informal_formal_business",NA,"Complete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"665","Hori","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"666","Hori","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"667","Hori","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"668",NA,"Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"669",NA,"Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"670","Solulo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"671",NA,"Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"672",NA,"Female",0,0,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"673","Corane","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",1,1,1,1,1,1,0,NA
"674","Pacone","Male",0,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"675","Pacone","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"676",NA,"Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"677","Natere","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"678","Corane","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","None",1,1,1,1,1,1,0,NA
"679","Murateia","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"680","Monudo/Murudo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"681",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"682",NA,"Female",0,0,2008,"Fish_sale_external",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Mucoroma","Male",0,0,2008,"Fish_sale_external",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Natere","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"685","Hori","Male",0,0,2008,"Sell_drinks",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"686","Namige","Male",0,0,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"687",NA,"Female",0,0,2008,"Informal_formal_business",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Mtopa","Female",0,0,2008,"Remittances",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",NA,"Female",1,0,2008,"Subsist_crops",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",NA,"Female",0,0,2008,"Fish_sale_external",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",NA,"Female",1,0,2008,NA,NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",NA,NA,1,0,2008,"Informal_formal_business",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Moebase","Female",0,0,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Iarupa","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Pacone","Male",0,0,2008,"Monthly_pension",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",NA,"Female",1,0,2008,"Subsist_crops",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Mecane (Oua)","Female",0,0,2008,"Remittances",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Ampuitine","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","Naheco","Female",0,0,2008,"Informal_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Naheco","Female",0,0,2008,"Subsist_crops",NA,"Illiterate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",NA,"Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Namaquete","Female",0,0,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Solulo","Female",0,0,2008,"Informal_work",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Mavele","Female",0,0,2008,"Informal_work",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Ampuitine","Male",0,0,2008,"Fish_sale_local",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Namichir","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"707","Nacocolo","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"708","Pacone","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"709","Mituco","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"710",NA,"Female",0,0,2008,"Informal_work",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",NA,"Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"712",NA,"Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"713","Lalaue","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"714","Namichir","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"715","Lalaue","Male",1,0,2008,"Informal_formal_business",NA,"Incomplete_secondary","None",NA,NA,NA,NA,NA,NA,NA,NA
"716",NA,"Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"717",NA,"Male",0,0,2008,"Fish_sale_local",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"718",NA,"Male",0,0,2008,"Monthly_pension",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"719",NA,"Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"720","Mucoroma","Male",1,0,2008,NA,NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"721",NA,"Male",0,0,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"722",NA,"Male",1,0,2008,"Informal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"723",NA,"Male",1,0,2008,"Fish_sale_local",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"724","Natere","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"725","Natere","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"726","Natere","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"727","Monudo/Murudo","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"728","Monudo/Murudo","Male",1,0,2008,"Animal_husbandry",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"729","Monudo/Murudo","Male",1,0,2008,NA,NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"730",NA,"Male",1,0,2008,"Fish_processing",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"731",NA,"Male",1,0,2008,NA,NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"732","Mtopa","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"733","Mtopa","Male",0,0,2008,"Informal_formal_business",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"734","Mtopa","Male",1,0,2008,"Informal_formal_business",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"735","Ampuitine","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"736",NA,"Male",0,0,2008,"Forraged_products",NA,"None","Complete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"737",NA,"Male",0,0,2008,"Informal_formal_business",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"738","Nacocolo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"739","Nacocolo","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"740","Ampuitine","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"741",NA,"Male",1,0,2008,"Transportation",NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"742","Namige","Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"743",NA,"Male",0,0,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"744","Murateia","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"745","Pacone","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"746",NA,"Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"747","Namige","Male",0,0,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"748","Pacone","Male",0,0,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"749","Magene","Male",1,0,2008,NA,NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"750","Magene","Male",1,0,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"751",NA,"Male",0,0,2008,"Fish_sale_external",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"752","Namige","Male",1,0,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"753","Pacone","Male",1,0,2008,"Fish_sale_local",NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,NA
"754","Murateia","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"755",NA,"Male",1,0,2008,"Sell_drinks",NA,"Incomplete_secondary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"756",NA,"Female",1,0,2008,NA,NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"757",NA,"Male",0,0,2008,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","Namame","Male",0,0,2008,"Subsist_crops",NA,"None","None",0,1,0,1,0,0,1,NA
"759","Namame","Male",1,0,2008,"Fish_sale_external",NA,"Incomplete_primary","None",0,1,0,1,0,0,1,NA
"760","Tipane","Male",1,0,2008,"Informal_work",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,NA
"761","Namame","Male",1,0,2008,"Fish_sale_external",NA,"Complete_primary","None",0,1,0,1,0,0,1,NA
